id,name,tm_number,image_url
"150kw-gen,-400hz","150KW GEN, 400HZ",TM 9-6115-668-13,
a-s99a1,A-S99A1,TM 9-1430-1603-10,
ac-f24h4-2,AC F24H4-2,TM 9-4120-429-13,
amdws,AMDWS,TM 11-7010-363-,
an_grc-245(v)4,AN_GRC-245(V)4,TM 11-5820-1175-13,
an_psc-5,AN_PSC-5,TM 11-5820-1130-12,
an_psm-95-msd,AN_PSM-95 MSD,TM 9-6625-3639-10,
an_usc-62a-jtt,AN_USC-62A JTT,TM 11-5895-1755-12,
an_usq-140(v)2-mids,AN_USQ-140(V)2 MIDS,TM 11-5895-1592-13,
an_vrc-rpstl,AN_VRC RPSTL,TM 11-5820-890-30,
"bn-sw-user-guide,-vol.-1","BN SW USER GUIDE, VOL. 1",TM 9-1425-2602-12-1,
cable-cx-11230,Cable CX-11230,TM 11-5995-208-10,
"d&c-group,-im-manual","D&C GROUP, IM MANUAL",TM 9-1425-2600-34-4,
dagr,DAGR,TM 11-5820-1172-13,
"digital-data-processor,-im-manual","DIGITAL DATA PROCESSOR, IM MANUAL",TM 9-1425-2600-34-8,
"ecs,-an_msq-132b,-dam-support-data","ECS, AN_MSQ-132B, DAM SUPPORT DATA",TM 9-1430-2600-10-2,
"ecs,-an_msq-132b,-im-manual","ECS, AN_MSQ-132B, IM MANUAL",TM 9-1430-2600-34,
"ecs,-an_msq-132b,-manual","ECS, AN_MSQ-132B, MANUAL",TM 9-1430-2600-10-1,
tm-9-1430-2600-20-1,"ECS, AN_MSQ-132B, VOL. 1, ORG. MAIN.)",TM 9-1430-2600-20-1,
"ecs,-an_msq-132b,-vol.-2,-org.-maint.","ECS, AN_MSQ-132B, VOL. 2, ORG. MAINT.",TM 9-1430-2600-20-2,
"ecs,-an_msq-132b,-vol.-3,-org.-maint.","ECS, AN_MSQ-132B, VOL. 3, ORG. MAINT.",TM 9-1430-2600-20-3,
"ecs-icc-uhf,-vhf-im-manual","ECS-ICC UHF, VHF IM MANUAL",TM 9-1425-2600-34-9,
epp-iii,EPP III,TM 9-6115-669-13,
f24h4-ecu,F24H4 ECU,TM 9-4120-429-14,
"fp-sw-user-guide,-vol.-2","FP SW USER GUIDE, VOL. 2",TM 9-1425-2602-12-2,
"gen.-maint.,-im-manual","GEN. MAINT., IM MANUAL",TM 9-1425-2600-34,
gunners-quad,GUNNERS QUAD,TM 9-1290-200-14,
hmmwv-_m1151_pmcs,HMMWV-_M1151_PMCS,HMMWV-_M1151_PMCS.pdf,
tm-11-5820-890-10-,HR,TM 11-5820-890-10-,
tm-9-1425-2600-10-,HR,TM 9-1425-2600-10-,
"icc,-an_msq-133b,-dam-support-data","ICC, AN_MSQ-133B, DAM SUPPORT DATA",TM 9-1430-2602-10-2,
"icc,-an_msq-133b,-manual","ICC, AN_MSQ-133B, MANUAL",TM 9-1430-2602-10-1,
id-2499m-nfs,ID-2499M NFS,TM 9-1430-605-14,
jbcp-guide,JBCP Guide,JBCP Guide.pdf,
jtt,JTT,TM 11-5895-1945-13,
kg-175d,KG-175D,TM 11-5810-422-13,
kg-194,KG-194,TM 11-5810-365-10,
kiv-7m,KIV-7M,TM 11-5810-402-13,
"ls-m902,-vol.-2,-org.-maint.","LS M902, VOL. 2, ORG. MAINT.",TM 9-1440-2600-20-2,
"ls-m903,-vol.-1,-org.-maint.","LS M903, VOL. 1, ORG. MAINT.",TM 9-1440-2600-20-1,
"ls-m903,-vol.3,-org.-maint.","LS M903, VOL.3, ORG. MAINT.",TM 9-1440-2600-20-3,
"ls,-m903,-im-manual","LS, M903, IM MANUAL",TM 9-1440-2600-34,
"ls,-m903,-manual","LS, M903, MANUAL",TM 9-1440-2600-10,
m1085a1p2,M1085A1P2,TM 9-2320-333-10-1,
m1086a1p2,M1086A1P2,TM 9-2320-333-10-1,
m1096a1,M1096A1,TM 9-2320-392-10-1,
m1113,M1113,TM 9-2320-387-10,
m2-aiming-circle,M2 AIMING CIRCLE,TM 9-6675-262-10,
m860a1,M860A1,TM 9-2320-357-14,
m901,M901,TM 9-1440-600-10,
m902,M902,TM 9-1440-1600-10,
m903,M903,TM 9-1440-1600-10,
m934a2-5-ton,M934A2 5-Ton,TM 9-2320-272-10,
m977-series-hemtt-rpstl,M977 SERIES HEMTT RPSTL,TM 9-2320-279-24,
m977a4,M977A4,TM 9-2320-338-10,
m983a4,M983A4,TM 9-2320-340-10,
m985a4-gmt,M985A4 GMT,TM 9-2320-344-10,
mep-804_mep814,MEP 804_MEP814,TM 9-6115-643-10,
mep-805b-gen,MEP-805B GEN,TM 9-6115-671-14,
mep-903a-10kw-gen,MEP-903A 10KW GEN,TM 9-6115-670-14,
"off-line-maint.,-vol.-4","OFF-LINE MAINT., VOL. 4",TM 9-1425-2602-12-4,
"on-line-maint.,-vol.-3","ON-LINE MAINT., VOL. 3",TM 9-1425-2602-12-3,
org-and-inter.-maint.-missiles,ORG and INTER. MAINT. MISSILES,TM 9-1410-600-14,
pac-3-mse-and-mrt,PAC 3 MSE and MRT,TM 9-1410-2600-12,
pac-3-and-mrt-m51,PAC 3 and MRT M51,TM 9-1410-1600-12,
pdb-8-an-msq-132,PDB 8 AN-MSQ 132,TM 9-1430-2600-10-1,
pdb-8-umr-software-limitations-may-18-2016.-rev-a,PDB-8 UMR Software Limitations May 18 2016. Rev A,PDB-8 UMR Software Limitations May 18 2016. Rev A.pdf,
pu-804b-gen,PU-804B GEN,TM 9-6115-662-13,
pu-821t-drash,PU-821T DRASH,TM 11-6115-742-13,
patriot-commo-operator-handbook-2020,Patriot Commo Operator Handbook,Patriot Commo Operator Handbook 2020.pdf,
patriot-commo-planner-handbook-2020,Patriot Commo Planner Handbook,Patriot Commo Planner Handbook 2020.pdf,
reel-units,REEL UNITS,TM 11-3895-202-13,
rmss-user-guide-vol.-5,RMSS USER GUIDE VOL. 5,TM 9-1425-2602-12-5,
"rs-receiver-eccm-processor,-im-manual","RS RECEIVER ECCM PROCESSOR, IM MANUAL",TM 9-1430-2601-34-15,
"rs-receiver-tvm-correlation-processor,-im-manual","RS RECEIVER TVM CORRELATION PROCESSOR, IM MANUAL",TM 9-1430-2601-34-18,
"rs-receiver-tvmap-processor,-im-manual","RS RECEIVER TVMAP PROCESSOR, IM MANUAL",TM 9-1430-2601-34-17,
"rs,-acu-&-rtg-interface,-im-manual","RS, ACU & RTG INTERFACE, IM MANUAL",TM 9-1430-2601-34-4,
"rs,-an_mpq-65a,-dam-support-data","RS, AN_MPQ-65A, DAM SUPPORT DATA",TM 9-1430-2601-10-2,
"rs,-an_mpq-65a,-im-manual","RS, AN_MPQ-65A, IM MANUAL",TM 9-1430-2601-34,
"rs,-an_mpq-65a,-manual","RS, AN_MPQ-65A, MANUAL",TM 9-1430-2601-10-1,
"rs,-an_mpq-65a,-vol.-1,-org.-maint.","RS, AN_MPQ-65A, VOL. 1, ORG. MAINT.",TM 9-1430-2601-20-1,
"rs,-an_mpq-65a,-vol.-2,-org.-maint.","RS, AN_MPQ-65A, VOL. 2, ORG. MAINT.",TM 9-1430-2601-20-2,
"rs,-an_mpq-65a,-vol.-3,-org.-maint.","RS, AN_MPQ-65A, VOL. 3, ORG. MAINT.",TM 9-1430-2601-20-3,
"rs,-comparator-front-end,-im-manual","RS, COMPARATOR FRONT END, IM MANUAL",TM 9-1430-2601-34-12,
"rs,-i-o-control-unit_sensitivity-timing-control,-im-manual","RS, I-O CONTROL UNIT_SENSITIVITY TIMING CONTROL, IM MANUAL",TM 9-1430-2601-34-8,
"rs,-iff-system,-im-manual","RS, IFF SYSTEM, IM MANUAL",TM 9-1430-2601-34-24,
"rs,-lens-front-end,-im-manual","RS, LENS FRONT END, IM MANUAL",TM 9-1430-2601-34-11,
"rs,-pulse-expansion,-im-manual","RS, PULSE EXPANSION, IM MANUAL",TM 9-1430-2601-34-10,
"rs,-rasg,-im-manual","RS, RASG, IM MANUAL",TM 9-1430-2601-34-5,
"rs,-rdp,-im-manual","RS, RDP, IM MANUAL",TM 9-1430-2601-34-28,
"rs,-receiver-waveform-generator,-im-manual","RS, RECEIVER-WAVEFORM GENERATOR, IM MANUAL",TM 9-1430-2601-34-27,
"rs,-rtg-dual-traveling-wavetube-amp,-im-manual","RS, RTG DUAL TRAVELING WAVETUBE AMP, IM MANUAL",TM 9-1430-2601-34-7,
"rs,-rtg-exciter,-im-manual","RS, RTG EXCITER, IM MANUAL",TM 9-1430-2601-34-6,
"rs,-search-track-if-processor,-im-manual","RS, SEARCH-TRACK IF PROCESSOR, IM MANUAL",TM 9-1430-2601-34-13,
"rs,-sidelobe-canceller,-im-manual","RS, SIDELOBE CANCELLER, IM MANUAL",TM 9-1430-2601-34-14,
"rs,-waveform-generator,-im-manual","RS, WAVEFORM GENERATOR, IM MANUAL",TM 9-1430-2601-34-9,
rt-1523-sincgars,RT-1523 SINCGARS,TB 11-5820-890-30-5 (RT-1523 SINCGARS) 2008.pdf,
"rwciu,-im-manual","RWCIU, IM MANUAL",TM 9-1425-2600-34-6,
radio-sets,Radio Sets,Radio Sets.pdf,
s-83a_g-shelter,S-83A_G SHELTER,TM 11-5411-218-13,
sincgars,SINCGARS,TB 11-5820-890-30-5 (SINCGARS) 2008.pdf,
skl,SKL,TM 11-5810-410-13,
"sug-vol.-1,-im-manual","SUG VOL. 1, IM MANUAL",TM 9-1425-2602-34-1,
"sug-vol.-2,-im-manual","SUG VOL. 2, IM MANUAL",TM 9-1425-2602-34-2,
system-description,SYSTEM DESCRIPTION,TM 9-1425-2600-12,
status-monitor-handbook-pdb-8-15-may-2014,Status Monitor Handbook PDB-8 15 May,Status Monitor Handbook PDB-8 15 May 2014.pdf,
ta-1,TA-1,TM 11-5805-243-13,
tcs-system,TCS SYSTEM,TM 9-1430-606-12,
"wcc,-im-manual","WCC, IM MANUAL",TM 9-1425-2600-34-5,
